strategy,droneCount,maxAngle,droneID,timeStamp,x,y
decentralizedWeighted,20,45.0,32665241060,5366,-53.0652656555176,71.8993377685547
decentralizedWeighted,20,45.0,32849790447,5366,-119.608093261719,75.9984130859375
decentralizedWeighted,20,45.0,33034339834,5366,-171.091079711914,-40.8484802246094
decentralizedWeighted,20,45.0,33218889221,5366,-143.357543945313,30.08762550354
decentralizedWeighted,20,45.0,33403438608,5366,-100.732223510742,-2.90326166152954
decentralizedWeighted,20,45.0,33587987995,5366,-111.69172668457,23.2589416503906
decentralizedWeighted,20,45.0,33772537382,5366,-111.363433837891,-44.9918098449707
decentralizedWeighted,20,45.0,33957086769,5366,-95.0074310302734,-59.5954360961914
decentralizedWeighted,20,45.0,34141636156,5366,-191.424285888672,-33.6507873535156
decentralizedWeighted,20,45.0,34326185543,5366,-71.7431106567383,-57.2419776916504
decentralizedWeighted,20,45.0,34510734930,5366,-85.741584777832,84.9916458129883
decentralizedWeighted,20,45.0,34695284317,5366,-151.585693359375,88.0151519775391
decentralizedWeighted,20,45.0,34879833704,5366,-149.938461303711,50.6376304626465
decentralizedWeighted,20,45.0,35064383091,5366,-118.859596252441,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,5366,-51.5005302429199,-76.167594909668
decentralizedWeighted,20,45.0,35433481865,5366,-163.792266845703,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,5465,-134.19612121582,-45.7118034362793
decentralizedWeighted,20,45.0,32111592899,5466,-81.3759765625,63.5505561828613
decentralizedWeighted,20,45.0,32296142286,5466,-124.251304626465,-74.2832565307617
decentralizedWeighted,20,45.0,32480691673,5466,-41.3036689758301,32.6361961364746
decentralizedWeighted,20,45.0,32665241060,5466,-51.3986015319824,69.3993301391602
decentralizedWeighted,20,45.0,32849790447,5466,-114.60807800293,75.9984130859375
decentralizedWeighted,20,45.0,33034339834,5466,-167.757766723633,-39.1818161010742
decentralizedWeighted,20,45.0,33218889221,5466,-138.357574462891,30.08762550354
decentralizedWeighted,20,45.0,33403438608,5466,-95.7322082519531,-2.90326166152954
decentralizedWeighted,20,45.0,33587987995,5466,-111.69172668457,18.2589378356934
decentralizedWeighted,20,45.0,33772537382,5466,-111.363433837891,-49.9918022155762
